Rank,Name,Team,Position,FantasyPoints
649,Xazavian Valladay,NYJ,RB,0.00
650,Logan Thomas,SF,TE,0.00
651,Zack Kuntz,NYJ,TE,0.00
652,Jack Plummer,CAR,QB,0.00
653,Austin Watkins Jr.,PHI,WR,0.00
654,Brevyn Spann-Ford,DAL,TE,0.00
655,Chris Blair,ATL,WR,0.00
656,Seth Williams,JAX,WR,0.00
657,Tyler Badie,DEN,RB,0.00
658,Jacob Saylors,CLE,RB,0.00
659,David Martin-Robinson,TEN,TE,0.00
660,Dax Milne,LV,WR,0.00
661,Austin Reed,CHI,QB,0.00
662,Deven Thompkins,CAR,WR,0.00
663,Zach Heins,LAC,TE,0.00
664,Jashaun Corbin,NYG,RB,0.00
665,Anthony Schwartz,MIA,WR,0.00
666,Jermar Jefferson,DET,RB,0.00
667,Teagan Quitoriano,HOU,TE,0.00
668,British Brooks,HOU,RB,0.00
669,Carter Bradley,LV,QB,0.00
670,Daurice Fountain,DET,WR,0.00
671,Jordan Matthews,CAR,TE,0.00
672,Eric Tomlinson,IND,TE,0.00
673,Martavis Bryant,WAS,WR,0.00
674,Brandon Allen,SF,QB,0.00
675,Phillip Dorsett,DEN,WR,0.00
676,DeVante Parker,PHI,WR,0.00
677,Damiere Byrd,BUF,WR,0.00
678,Jakeem Grant,ATL,WR,0.00
679,Chris Jones,JAX,QB,0.00
680,Will Grier,PHI,QB,0.00
681,Cam Sims,CAR,WR,0.00
682,Keelan Doss,LV,WR,0.00
683,Isaiah McKenzie,NYG,WR,0.00
684,Matt Sokol,PIT,TE,0.00
685,Nsimba Webster,CHI,WR,0.00
686,Juwann Winfree,IND,WR,0.00
687,Tommy Sweeney,CHI,TE,0.00
688,James Washington,ATL,WR,0.00
689,David Wells,TB,TE,0.00
690,Matt Breida,SF,RB,0.00
691,John Ross,PHI,WR,0.00
692,Joshua Kelley,NYG,RB,0.00
693,Nate Sudfeld,DET,QB,0.00
694,Logan Woodside,CIN,QB,0.00
695,PJ Walker,SEA,QB,0.00
696,Trent Taylor,SF,WR,0.00
697,Kevin Rader,NO,TE,0.00
698,Andre Baccellia,ARI,WR,0.00
699,Jesper Horsted,CAR,TE,0.00
700,John Kelly,BAL,RB,0.00
701,Andy Isabella,BUF,WR,0.00
702,Zach Gentry,LV,TE,0.00
703,Salvon Ahmed,MIA,RB,0.00
704,Noah Togiai,PHI,TE,0.00
705,Tyree Jackson,NYG,TE,0.00
706,Dan Chisena,ARI,WR,0.00
707,Jacob Harris,PHI,WR,0.00
708,Jeff Smith,ARI,WR,0.00
709,Miles Boykin,NYG,WR,0.00
710,Shane Buechele,BUF,QB,0.00
711,Jalen Virgil,BUF,WR,0.00
712,Jacob Eason,GB,QB,0.00
713,Demetric Felton,IND,RB,0.00
714,Jake Funk,DET,RB,0.00
715,Sean McKeon,IND,TE,0.00
716,Nick Bawden,HOU,RB,0.00
717,Anthony Brown,BUF,QB,0.00
718,Tre' McKitty,BUF,TE,0.00
719,Stephen Sullivan,CAR,TE,0.00
720,Dalton Keene,HOU,TE,0.00
721,Racey McMath,DAL,WR,0.00
722,Anthony McFarland Jr.,MIA,RB,0.00
723,Jake Fromm,WAS,QB,0.00
724,Easop Winston Jr.,SEA,WR,0.00
725,Dresser Winn,LAR,QB,0.00
726,Tyrell Shavers,BUF,WR,0.00
727,Owen Wright,BAL,RB,0.00
728,Lance McCutcheon,NYJ,WR,0.00
729,Colton Dowell,TEN,WR,0.00
730,Elijah Dotson,LAC,RB,0.00
731,Jaelon Darden,CLE,WR,0.00
732,Dennis Houston,NYG,WR,0.00
733,Ihmir Smith-Marsette,CAR,WR,0.00
734,Deon Jackson,NYJ,RB,0.00
735,Kendric Pryor,CIN,WR,0.00
736,Spencer Brown,ATL,RB,0.00
737,Chris Oladokun,KC,QB,0.00
738,Denzel Mims,JAX,WR,0.00
739,Quintez Cephus,HOU,WR,0.00
740,James Robinson,NO,RB,0.00
741,Tanner Conner,MIA,TE,0.00
742,Rodney Williams,PIT,TE,0.00
743,Tony Jones Jr.,ARI,RB,0.00
744,Armani Rogers,PHI,TE,0.00
745,Kawaan Baker,NE,WR,0.00
746,Darren Waller,NYG,TE,0.00
747,Rashaad Penny,CAR,RB,0.00
748,Michael Gallup,LV,WR,0.00
749,Tyron Billy-Johnson,DAL,WR,0.00
750,Alex Bachman,HOU,WR,0.00
751,Tyrie Cleveland,IND,WR,0.00
752,Marquez Callaway,NO,WR,0.00
753,AJ Dillon,GB,RB,0.00
754,Elijah Mitchell,SF,RB,0.00
755,Jalen Camp,CLE,WR,0.00
756,Michael Bandy,DEN,WR,0.00
757,Brittain Brown,LV,RB,0.00
758,Kwamie Lassiter II,CIN,WR,0.00
759,Justin Jefferson,MIN,QB,0.00
