SeasonType,Season,Week,Name,ShortName,StartDate,EndDate,ApiSeason,ApiWeek
1,2013,12,Week 12,Week 12,2013-11-20T00:00:00,2013-11-26T23:59:59,2013REG,12
1,2013,13,Week 13,Week 13,2013-11-27T00:00:00,2013-12-03T23:59:59,2013REG,13
1,2013,14,Week 14,Week 14,2013-12-04T00:00:00,2013-12-10T23:59:59,2013REG,14
1,2013,15,Week 15,Week 15,2013-12-11T00:00:00,2013-12-17T23:59:59,2013REG,15
1,2013,16,Week 16,Week 16,2013-12-18T00:00:00,2013-12-24T23:59:59,2013REG,16
1,2013,17,Week 17,Week 17,2013-12-25T00:00:00,2013-12-30T23:59:59,2013REG,17
3,2013,1,Wild Card,Wild Card,2013-12-31T00:00:00,2014-01-06T23:59:59,2013POST,1
3,2013,2,Divisional Playoffs,Divisional,2014-01-07T00:00:00,2014-01-13T23:59:59,2013POST,2
3,2013,3,Conference Championships,Conference,2014-01-14T00:00:00,2014-01-20T23:59:59,2013POST,3
3,2013,4,Super Bowl XLVIII,Super Bowl,2014-01-21T00:00:00,2014-02-09T23:59:59,2013POST,4
4,2013,,Scouting Combine,Combine,2014-02-10T00:00:00,2014-02-28T23:59:59,2013REG,
4,2013,,End of League Year,End of League Year,2014-03-01T00:00:00,2014-03-11T15:59:59,2013REG,
4,2014,,Free Agency,Free Agency,2014-03-11T16:00:00,2014-04-13T23:59:59,2014REG,
4,2014,,2013 NFL Draft,NFL Draft,2014-04-14T00:00:00,2014-06-21T23:59:59,2014REG,
4,2014,,Rookie Symposium,Rookie Symposium,2014-06-22T00:00:00,2014-06-29T23:59:59,2014REG,
4,2014,,Training Camp,Training Camp,2014-06-30T00:00:00,2014-07-31T23:59:59,2014REG,
2,2014,0,Hall of Fame Weekend,HOF Weekend,2014-08-01T00:00:00,2014-08-04T23:59:59,2014PRE,0
2,2014,1,Preseason Week 1,Week 1,2014-08-05T00:00:00,2014-08-11T23:59:59,2014PRE,1
2,2014,2,Preseason Week 2,Week 2,2014-08-12T00:00:00,2014-08-19T23:59:59,2014PRE,2
2,2014,3,Preseason Week 3,Week 3,2014-08-20T00:00:00,2014-08-25T23:59:59,2014PRE,3
2,2014,4,Preseason Week 4,Week 4,2014-08-26T00:00:00,2014-08-29T23:59:59,2014PRE,4
1,2014,1,Week 1,Week 1,2014-08-30T00:00:00,2014-09-09T23:59:59,2014REG,1
1,2014,2,Week 2,Week 2,2014-09-10T00:00:00,2014-09-16T23:59:59,2014REG,2
1,2014,3,Week 3,Week 3,2014-09-17T00:00:00,2014-09-23T23:59:59,2014REG,3
1,2014,4,Week 4,Week 4,2014-09-24T00:00:00,2014-09-30T23:59:59,2014REG,4
1,2014,5,Week 5,Week 5,2014-10-01T00:00:00,2014-10-07T23:59:59,2014REG,5
1,2014,6,Week 6,Week 6,2014-10-08T00:00:00,2014-10-14T23:59:59,2014REG,6
1,2014,7,Week 7,Week 7,2014-10-15T00:00:00,2014-10-21T23:59:59,2014REG,7
1,2014,8,Week 8,Week 8,2014-10-22T00:00:00,2014-10-28T23:59:59,2014REG,8
1,2014,9,Week 9,Week 9,2014-10-29T00:00:00,2014-11-04T23:59:59,2014REG,9
1,2014,10,Week 10,Week 10,2014-11-05T00:00:00,2014-11-11T23:59:59,2014REG,10
1,2014,11,Week 11,Week 11,2014-11-12T00:00:00,2014-11-18T23:59:59,2014REG,11
1,2014,12,Week 12,Week 12,2014-11-19T00:00:00,2014-11-25T23:59:59,2014REG,12
1,2014,13,Week 13,Week 13,2014-11-26T00:00:00,2014-12-02T23:59:59,2014REG,13
1,2014,14,Week 14,Week 14,2014-12-03T00:00:00,2014-12-09T23:59:59,2014REG,14
1,2014,15,Week 15,Week 15,2014-12-10T00:00:00,2014-12-16T23:59:59,2014REG,15
1,2014,16,Week 16,Week 16,2014-12-17T00:00:00,2014-12-23T23:59:59,2014REG,16
1,2014,17,Week 17,Week 17,2014-12-24T00:00:00,2014-12-29T23:59:59,2014REG,17
3,2014,1,Wild Card,Wild Card,2014-12-30T00:00:00,2015-01-05T23:59:59,2014POST,1
3,2014,2,Divisional Playoffs,Divisional,2015-01-06T00:00:00,2015-01-12T23:59:59,2014POST,2
3,2014,3,Conference Championships,Conference,2015-01-13T00:00:00,2015-01-19T23:59:59,2014POST,3
3,2014,4,Super Bowl,Super Bowl,2015-01-20T00:00:00,2015-02-08T23:59:59,2014POST,4
4,2014,,Scouting Combine,Combine,2015-02-09T00:00:00,2015-02-27T23:59:59,2014REG,
4,2014,,End of League Year,End of League Year,2015-02-28T00:00:00,2015-03-10T15:59:59,2014REG,
4,2015,,Free Agency,Free Agency,2015-03-10T16:00:00,2015-04-09T23:59:59,2015REG,
4,2015,,NFL Draft,NFL Draft,2015-04-10T00:00:00,2015-08-04T23:59:59,2015REG,
2,2015,0,Hall of Fame Weekend,HOF Weekend,2015-08-05T00:00:00,2015-08-10T23:59:59,2015PRE,0
2,2015,1,Preseason Week 1,Week 1,2015-08-11T00:00:00,2015-08-18T23:59:59,2015PRE,1
2,2015,2,Preseason Week 2,Week 2,2015-08-19T00:00:00,2015-08-25T23:59:59,2015PRE,2
2,2015,3,Preseason Week 3,Week 3,2015-08-26T00:00:00,2015-08-31T23:59:59,2015PRE,3
2,2015,4,Preseason Week 4,Week 4,2015-09-01T00:00:00,2015-09-04T23:59:59,2015PRE,4
1,2015,1,Week 1,Week 1,2015-09-05T00:00:00,2015-09-15T23:59:59,2015REG,1
1,2015,2,Week 2,Week 2,2015-09-16T00:00:00,2015-09-22T23:59:59,2015REG,2
1,2015,3,Week 3,Week 3,2015-09-23T00:00:00,2015-09-29T23:59:59,2015REG,3
1,2015,4,Week 4,Week 4,2015-09-30T00:00:00,2015-10-06T23:59:59,2015REG,4
1,2015,5,Week 5,Week 5,2015-10-07T00:00:00,2015-10-13T23:59:59,2015REG,5
1,2015,6,Week 6,Week 6,2015-10-14T00:00:00,2015-10-20T23:59:59,2015REG,6
1,2015,7,Week 7,Week 7,2015-10-21T00:00:00,2015-10-27T23:59:59,2015REG,7
1,2015,8,Week 8,Week 8,2015-10-28T00:00:00,2015-11-03T23:59:59,2015REG,8
1,2015,9,Week 9,Week 9,2015-11-04T00:00:00,2015-11-10T23:59:59,2015REG,9
1,2015,10,Week 10,Week 10,2015-11-11T00:00:00,2015-11-17T23:59:59,2015REG,10
1,2015,11,Week 11,Week 11,2015-11-18T00:00:00,2015-11-24T23:59:59,2015REG,11
1,2015,12,Week 12,Week 12,2015-11-25T00:00:00,2015-12-01T23:59:59,2015REG,12
1,2015,13,Week 13,Week 13,2015-12-02T00:00:00,2015-12-08T23:59:59,2015REG,13
1,2015,14,Week 14,Week 14,2015-12-09T00:00:00,2015-12-15T23:59:59,2015REG,14
1,2015,15,Week 15,Week 15,2015-12-16T00:00:00,2015-12-22T23:59:59,2015REG,15
1,2015,16,Week 16,Week 16,2015-12-23T00:00:00,2015-12-29T23:59:59,2015REG,16
1,2015,17,Week 17,Week 17,2015-12-30T00:00:00,2016-01-04T23:59:59,2015REG,17
3,2015,1,Wild Card Weekend,Wild Card,2016-01-05T00:00:00,2016-01-11T23:59:59,2015POST,1
3,2015,2,Divisional Playoffs,Divisional,2016-01-12T00:00:00,2016-01-18T23:59:59,2015POST,2
3,2015,3,Conference Championships,Conference,2016-01-19T00:00:00,2016-01-25T23:59:59,2015POST,3
3,2015,4,Super Bowl,Super Bowl,2016-01-26T00:00:00,2016-02-14T23:59:59,2015POST,4
4,2015,,Scouting Combine,Combine,2016-02-15T00:00:00,2016-02-29T23:59:59,2015REG,
4,2016,,Free Agency,Free Agency,2016-03-01T00:00:00,2016-03-31T23:59:59,2016REG,
4,2016,,NFL Draft,NFL Draft,2016-04-01T00:00:00,2016-07-27T23:59:59,2016REG,
2,2016,0,Hall of Fame Weekend,HOF Weekend,2016-07-28T00:00:00,2016-08-08T23:59:59,2016PRE,0
2,2016,1,Preseason Week 1,Week 1,2016-08-09T00:00:00,2016-08-15T23:59:59,2016PRE,1
2,2016,2,Preseason Week 2,Week 2,2016-08-16T00:00:00,2016-08-21T23:59:59,2016PRE,2
2,2016,3,Preseason Week 3,Week 3,2016-08-22T00:00:00,2016-08-29T23:59:59,2016PRE,3
2,2016,4,Preseason Week 4,Week 4,2016-08-30T00:00:00,2016-09-02T23:59:59,2016PRE,4
1,2016,1,Week 1,Week 1,2016-09-03T00:00:00,2016-09-13T23:59:59,2016REG,1
1,2016,2,Week 2,Week 2,2016-09-14T00:00:00,2016-09-20T23:59:59,2016REG,2
1,2016,3,Week 3,Week 3,2016-09-21T00:00:00,2016-09-27T23:59:59,2016REG,3
1,2016,4,Week 4,Week 4,2016-09-28T00:00:00,2016-10-04T23:59:59,2016REG,4
1,2016,5,Week 5,Week 5,2016-10-05T00:00:00,2016-10-11T23:59:59,2016REG,5
1,2016,6,Week 6,Week 6,2016-10-12T00:00:00,2016-10-18T23:59:59,2016REG,6
1,2016,7,Week 7,Week 7,2016-10-19T00:00:00,2016-10-25T23:59:59,2016REG,7
1,2016,8,Week 8,Week 8,2016-10-26T00:00:00,2016-11-01T23:59:59,2016REG,8
1,2016,9,Week 9,Week 9,2016-11-02T00:00:00,2016-11-08T23:59:59,2016REG,9
1,2016,10,Week 10,Week 10,2016-11-09T00:00:00,2016-11-15T23:59:59,2016REG,10
1,2016,11,Week 11,Week 11,2016-11-16T00:00:00,2016-11-22T23:59:59,2016REG,11
1,2016,12,Week 12,Week 12,2016-11-23T00:00:00,2016-11-29T23:59:59,2016REG,12
1,2016,13,Week 13,Week 13,2016-11-30T00:00:00,2016-12-06T23:59:59,2016REG,13
1,2016,14,Week 14,Week 14,2016-12-07T00:00:00,2016-12-13T23:59:59,2016REG,14
1,2016,15,Week 15,Week 15,2016-12-14T00:00:00,2016-12-20T23:59:59,2016REG,15
1,2016,16,Week 16,Week 16,2016-12-21T00:00:00,2016-12-27T23:59:59,2016REG,16
1,2016,17,Week 17,Week 17,2016-12-28T00:00:00,2017-01-02T23:59:59,2016REG,17
3,2016,1,Wild Card Weekend,Wild Card,2017-01-03T00:00:00,2017-01-09T23:59:59,2016POST,1
3,2016,2,Divisional Playoffs,Divisional,2017-01-10T00:00:00,2017-01-16T23:59:59,2016POST,2
3,2016,3,Conference Championships,Conference,2017-01-17T00:00:00,2017-01-23T23:59:59,2016POST,3
5,2016,1,Pro Bowl,Pro Bowl,2017-01-24T00:00:00,2017-01-30T23:59:59,2016STAR,1
3,2016,4,Super Bowl,Super Bowl,2017-01-31T00:00:00,2017-02-14T23:59:59,2016POST,4
4,2016,,Scouting Combine,Combine,2017-02-15T00:00:00,2017-02-28T23:59:59,2016REG,
4,2017,,Free Agency,Free Agency,2017-03-01T00:00:00,2017-03-31T23:59:59,2017REG,
4,2017,,NFL Draft,NFL Draft,2017-04-01T00:00:00,2017-07-27T23:59:59,2017REG,
2,2017,0,Hall of Fame Weekend,HOF Weekend,2017-07-28T00:00:00,2017-08-04T23:59:59,2017PRE,0
2,2017,1,Preseason Week 1,Week 1,2017-08-05T00:00:00,2017-08-14T23:59:59,2017PRE,1
2,2017,2,Preseason Week 2,Week 2,2017-08-15T00:00:00,2017-08-22T23:59:59,2017PRE,2
2,2017,3,Preseason Week 3,Week 3,2017-08-23T00:00:00,2017-08-28T23:59:59,2017PRE,3
2,2017,4,Preseason Week 4,Week 4,2017-08-29T00:00:00,2017-09-01T23:59:59,2017PRE,4
1,2017,1,Week 1,Week 1,2017-09-02T00:00:00,2017-09-12T23:59:59,2017REG,1
1,2017,2,Week 2,Week 2,2017-09-13T00:00:00,2017-09-19T23:59:59,2017REG,2
1,2017,3,Week 3,Week 3,2017-09-20T00:00:00,2017-09-26T23:59:59,2017REG,3
1,2017,4,Week 4,Week 4,2017-09-27T00:00:00,2017-10-03T23:59:59,2017REG,4
1,2017,5,Week 5,Week 5,2017-10-04T00:00:00,2017-10-10T23:59:59,2017REG,5
1,2017,6,Week 6,Week 6,2017-10-11T00:00:00,2017-10-17T23:59:59,2017REG,6
1,2017,7,Week 7,Week 7,2017-10-18T00:00:00,2017-10-24T23:59:59,2017REG,7
1,2017,8,Week 8,Week 8,2017-10-25T00:00:00,2017-10-31T23:59:59,2017REG,8
1,2017,9,Week 9,Week 9,2017-11-01T00:00:00,2017-11-07T23:59:59,2017REG,9
1,2017,10,Week 10,Week 10,2017-11-08T00:00:00,2017-11-14T23:59:59,2017REG,10
1,2017,11,Week 11,Week 11,2017-11-15T00:00:00,2017-11-21T23:59:59,2017REG,11
1,2017,12,Week 12,Week 12,2017-11-22T00:00:00,2017-11-28T23:59:59,2017REG,12
1,2017,13,Week 13,Week 13,2017-11-29T00:00:00,2017-12-05T23:59:59,2017REG,13
1,2017,14,Week 14,Week 14,2017-12-06T00:00:00,2017-12-12T23:59:59,2017REG,14
1,2017,15,Week 15,Week 15,2017-12-13T00:00:00,2017-12-19T23:59:59,2017REG,15
1,2017,16,Week 16,Week 16,2017-12-20T00:00:00,2017-12-26T23:59:59,2017REG,16
1,2017,17,Week 17,Week 17,2017-12-27T00:00:00,2018-01-01T23:59:59,2017REG,17
3,2017,1,Wild Card Weekend,Wild Card,2018-01-02T00:00:00,2018-01-08T23:59:59,2017POST,1
3,2017,2,Divisional Playoffs,Divisional,2018-01-09T00:00:00,2018-01-15T23:59:59,2017POST,2
3,2017,3,Conference Championships,Conference,2018-01-16T00:00:00,2018-01-22T23:59:59,2017POST,3
5,2017,1,Pro Bowl,Pro Bowl,2018-01-23T00:00:00,2018-01-29T23:59:59,2017STAR,1
3,2017,4,Super Bowl,Super Bowl,2018-01-30T00:00:00,2018-02-14T23:59:59,2017POST,4
4,2017,,Scouting Combine,Combine,2018-02-15T00:00:00,2018-02-28T23:59:59,2017REG,
4,2018,,Free Agency,Free Agency,2018-03-01T00:00:00,2018-03-31T23:59:59,2018REG,
4,2018,,NFL Draft,NFL Draft,2018-04-01T00:00:00,2018-07-27T23:59:59,2018REG,
2,2018,0,Hall of Fame Weekend,HOF Weekend,2018-07-28T00:00:00,2018-08-03T23:59:59,2018PRE,0
2,2018,1,Preseason Week 1,Week 1,2018-08-04T00:00:00,2018-08-12T23:59:59,2018PRE,1
2,2018,2,Preseason Week 2,Week 2,2018-08-13T00:00:00,2018-08-21T23:59:59,2018PRE,2
2,2018,3,Preseason Week 3,Week 3,2018-08-22T00:00:00,2018-08-27T23:59:59,2018PRE,3
2,2018,4,Preseason Week 4,Week 4,2018-08-28T00:00:00,2018-08-31T23:59:59,2018PRE,4
1,2018,1,Week 1,Week 1,2018-09-01T00:00:00,2018-09-11T23:59:59,2018REG,1
1,2018,2,Week 2,Week 2,2018-09-12T00:00:00,2018-09-18T23:59:59,2018REG,2
1,2018,3,Week 3,Week 3,2018-09-19T00:00:00,2018-09-25T23:59:59,2018REG,3
1,2018,4,Week 4,Week 4,2018-09-26T00:00:00,2018-10-02T23:59:59,2018REG,4
1,2018,5,Week 5,Week 5,2018-10-03T00:00:00,2018-10-09T23:59:59,2018REG,5
1,2018,6,Week 6,Week 6,2018-10-10T00:00:00,2018-10-16T23:59:59,2018REG,6
1,2018,7,Week 7,Week 7,2018-10-17T00:00:00,2018-10-23T23:59:59,2018REG,7
1,2018,8,Week 8,Week 8,2018-10-24T00:00:00,2018-10-30T23:59:59,2018REG,8
1,2018,9,Week 9,Week 9,2018-10-31T00:00:00,2018-11-06T23:59:59,2018REG,9
1,2018,10,Week 10,Week 10,2018-11-07T00:00:00,2018-11-13T23:59:59,2018REG,10
1,2018,11,Week 11,Week 11,2018-11-14T00:00:00,2018-11-20T23:59:59,2018REG,11
1,2018,12,Week 12,Week 12,2018-11-21T00:00:00,2018-11-27T23:59:59,2018REG,12
1,2018,13,Week 13,Week 13,2018-11-28T00:00:00,2018-12-04T23:59:59,2018REG,13
1,2018,14,Week 14,Week 14,2018-12-05T00:00:00,2018-12-11T23:59:59,2018REG,14
1,2018,15,Week 15,Week 15,2018-12-12T00:00:00,2018-12-18T23:59:59,2018REG,15
1,2018,16,Week 16,Week 16,2018-12-19T00:00:00,2018-12-25T23:59:59,2018REG,16
1,2018,17,Week 17,Week 17,2018-12-26T00:00:00,2018-12-31T23:59:59,2018REG,17
3,2018,1,Wild Card Weekend,Wild Card,2019-01-01T00:00:00,2019-01-07T23:59:59,2018POST,1
3,2018,2,Divisional Playoffs,Divisional,2019-01-08T00:00:00,2019-01-14T23:59:59,2018POST,2
3,2018,3,Conference Championships,Conference,2019-01-15T00:00:00,2019-01-21T23:59:59,2018POST,3
5,2018,1,Pro Bowl,Pro Bowl,2019-01-22T00:00:00,2019-01-28T23:59:59,2018STAR,1
3,2018,4,Super Bowl,Super Bowl,2019-01-29T00:00:00,2019-02-14T23:59:59,2018POST,4
4,2018,,Scouting Combine,Combine,2019-02-15T00:00:00,2019-02-28T23:59:59,2018REG,
4,2019,,Free Agency,Free Agency,2019-03-01T00:00:00,2019-03-31T23:59:59,2019REG,
4,2019,,NFL Draft,NFL Draft,2019-04-01T00:00:00,2019-07-27T23:59:59,2019REG,
2,2019,0,Hall of Fame Weekend,HOF Weekend,2019-07-28T00:00:00,2019-08-02T23:59:59,2019PRE,0
2,2019,1,Preseason Week 1,Week 1,2019-08-03T00:00:00,2019-08-11T23:59:59,2019PRE,1
2,2019,2,Preseason Week 2,Week 2,2019-08-12T00:00:00,2019-08-20T23:59:59,2019PRE,2
2,2019,3,Preseason Week 3,Week 3,2019-08-21T00:00:00,2019-08-26T23:59:59,2019PRE,3
2,2019,4,Preseason Week 4,Week 4,2019-08-27T00:00:00,2019-08-30T23:59:59,2019PRE,4
1,2019,1,Week 1,Week 1,2019-08-31T00:00:00,2019-09-10T23:59:59,2019REG,1
1,2019,2,Week 2,Week 2,2019-09-11T00:00:00,2019-09-17T23:59:59,2019REG,2
1,2019,3,Week 3,Week 3,2019-09-18T00:00:00,2019-09-24T23:59:59,2019REG,3
1,2019,4,Week 4,Week 4,2019-09-25T00:00:00,2019-10-01T23:59:59,2019REG,4
1,2019,5,Week 5,Week 5,2019-10-02T00:00:00,2019-10-08T23:59:59,2019REG,5
1,2019,6,Week 6,Week 6,2019-10-09T00:00:00,2019-10-15T23:59:59,2019REG,6
1,2019,7,Week 7,Week 7,2019-10-16T00:00:00,2019-10-22T23:59:59,2019REG,7
1,2019,8,Week 8,Week 8,2019-10-23T00:00:00,2019-10-29T23:59:59,2019REG,8
1,2019,9,Week 9,Week 9,2019-10-30T00:00:00,2019-11-05T23:59:59,2019REG,9
1,2019,10,Week 10,Week 10,2019-11-06T00:00:00,2019-11-12T23:59:59,2019REG,10
1,2019,11,Week 11,Week 11,2019-11-13T00:00:00,2019-11-19T23:59:59,2019REG,11
1,2019,12,Week 12,Week 12,2019-11-20T00:00:00,2019-11-26T23:59:59,2019REG,12
1,2019,13,Week 13,Week 13,2019-11-27T00:00:00,2019-12-03T23:59:59,2019REG,13
1,2019,14,Week 14,Week 14,2019-12-04T00:00:00,2019-12-10T23:59:59,2019REG,14
1,2019,15,Week 15,Week 15,2019-12-11T00:00:00,2019-12-17T23:59:59,2019REG,15
1,2019,16,Week 16,Week 16,2019-12-18T00:00:00,2019-12-24T23:59:59,2019REG,16
1,2019,17,Week 17,Week 17,2019-12-25T00:00:00,2019-12-30T23:59:59,2019REG,17
3,2019,1,Wild Card Weekend,Wild Card,2019-12-31T00:00:00,2020-01-06T23:59:59,2019POST,1
3,2019,2,Divisional Playoffs,Divisional,2020-01-07T00:00:00,2020-01-13T23:59:59,2019POST,2
3,2019,3,Conference Championships,Conference,2020-01-14T00:00:00,2020-01-20T23:59:59,2019POST,3
5,2019,1,Pro Bowl,Pro Bowl,2020-01-21T00:00:00,2020-01-27T23:59:59,2019STAR,1
3,2019,4,Super Bowl,Super Bowl,2020-01-28T00:00:00,2020-02-14T23:59:59,2019POST,4
4,2019,,Scouting Combine,Combine,2020-02-15T00:00:00,2020-02-29T23:59:59,2019REG,
4,2020,,Free Agency,Free Agency,2020-03-01T00:00:00,2020-03-31T23:59:59,2020REG,
4,2020,,NFL Draft,NFL Draft,2020-04-01T00:00:00,2020-07-27T23:59:59,2020REG,
2,2020,0,Hall of Fame Weekend,HOF Weekend,2020-07-28T00:00:00,2020-08-07T23:59:59,2020PRE,0
2,2020,1,Preseason Week 1,Week 1,2020-08-08T00:00:00,2020-08-17T23:59:59,2020PRE,1
2,2020,2,Preseason Week 2,Week 2,2020-08-18T00:00:00,2020-08-25T23:59:59,2020PRE,2
2,2020,3,Preseason Week 3,Week 3,2020-08-26T00:00:00,2020-08-31T23:59:59,2020PRE,3
2,2020,4,Preseason Week 4,Week 4,2020-09-01T00:00:00,2020-09-04T23:59:59,2020PRE,4
1,2020,1,Week 1,Week 1,2020-09-05T00:00:00,2020-09-15T23:59:59,2020REG,1
1,2020,2,Week 2,Week 2,2020-09-16T00:00:00,2020-09-22T23:59:59,2020REG,2
1,2020,3,Week 3,Week 3,2020-09-23T00:00:00,2020-09-29T23:59:59,2020REG,3
1,2020,4,Week 4,Week 4,2020-09-30T00:00:00,2020-10-06T23:59:59,2020REG,4
1,2020,5,Week 5,Week 5,2020-10-07T00:00:00,2020-10-14T23:59:59,2020REG,5
1,2020,6,Week 6,Week 6,2020-10-15T00:00:00,2020-10-20T23:59:59,2020REG,6
1,2020,7,Week 7,Week 7,2020-10-21T00:00:00,2020-10-27T23:59:59,2020REG,7
1,2020,8,Week 8,Week 8,2020-10-28T00:00:00,2020-11-03T23:59:59,2020REG,8
1,2020,9,Week 9,Week 9,2020-11-04T00:00:00,2020-11-10T23:59:59,2020REG,9
1,2020,10,Week 10,Week 10,2020-11-11T00:00:00,2020-11-17T23:59:59,2020REG,10
1,2020,11,Week 11,Week 11,2020-11-18T00:00:00,2020-11-24T23:59:59,2020REG,11
1,2020,12,Week 12,Week 12,2020-11-25T00:00:00,2020-12-03T23:59:59,2020REG,12
1,2020,13,Week 13,Week 13,2020-12-04T00:00:00,2020-12-09T23:59:59,2020REG,13
1,2020,14,Week 14,Week 14,2020-12-10T00:00:00,2020-12-15T23:59:59,2020REG,14
1,2020,15,Week 15,Week 15,2020-12-16T00:00:00,2020-12-22T23:59:59,2020REG,15
1,2020,16,Week 16,Week 16,2020-12-23T00:00:00,2020-12-29T23:59:59,2020REG,16
1,2020,17,Week 17,Week 17,2020-12-30T00:00:00,2021-01-04T23:59:59,2020REG,17
3,2020,1,Wild Card Weekend,Wild Card,2021-01-05T00:00:00,2021-01-11T23:59:59,2020POST,1
3,2020,2,Divisional Playoffs,Divisional,2021-01-12T00:00:00,2021-01-18T23:59:59,2020POST,2
3,2020,3,Conference Championships,Conference,2021-01-19T00:00:00,2021-01-25T23:59:59,2020POST,3
5,2020,1,Pro Bowl,Pro Bowl,2021-01-26T00:00:00,2021-02-01T23:59:59,2020STAR,1
3,2020,4,Super Bowl,Super Bowl,2021-02-02T00:00:00,2021-02-14T23:59:59,2020POST,4
4,2020,,Scouting Combine,Combine,2021-02-15T00:00:00,2021-02-28T23:59:59,2020REG,
4,2021,,Free Agency,Free Agency,2021-03-01T00:00:00,2021-03-31T23:59:59,2021REG,
4,2021,,NFL Draft,NFL Draft,2021-04-01T00:00:00,2021-07-27T23:59:59,2021REG,
2,2021,0,Hall of Fame Weekend,HOF Weekend,2021-07-28T00:00:00,2021-08-06T23:59:59,2021PRE,0
2,2021,1,Preseason Week 1,Week 1,2021-08-07T00:00:00,2021-08-16T23:59:59,2021PRE,1
2,2021,2,Preseason Week 2,Week 2,2021-08-17T00:00:00,2021-08-24T23:59:59,2021PRE,2
2,2021,3,Preseason Week 3,Week 3,2021-08-25T00:00:00,2021-08-30T23:59:59,2021PRE,3
1,2021,1,Week 1,Week 1,2021-08-31T00:00:00,2021-09-14T23:59:59,2021REG,1
1,2021,2,Week 2,Week 2,2021-09-15T00:00:00,2021-09-21T23:59:59,2021REG,2
1,2021,3,Week 3,Week 3,2021-09-22T00:00:00,2021-09-28T23:59:59,2021REG,3
1,2021,4,Week 4,Week 4,2021-09-29T00:00:00,2021-10-05T23:59:59,2021REG,4
1,2021,5,Week 5,Week 5,2021-10-06T00:00:00,2021-10-12T23:59:59,2021REG,5
1,2021,6,Week 6,Week 6,2021-10-13T00:00:00,2021-10-19T23:59:59,2021REG,6
1,2021,7,Week 7,Week 7,2021-10-20T00:00:00,2021-10-26T23:59:59,2021REG,7
1,2021,8,Week 8,Week 8,2021-10-27T00:00:00,2021-11-02T23:59:59,2021REG,8
1,2021,9,Week 9,Week 9,2021-11-03T00:00:00,2021-11-09T23:59:59,2021REG,9
1,2021,10,Week 10,Week 10,2021-11-10T00:00:00,2021-11-16T23:59:59,2021REG,10
1,2021,11,Week 11,Week 11,2021-11-17T00:00:00,2021-11-23T23:59:59,2021REG,11
1,2021,12,Week 12,Week 12,2021-11-24T00:00:00,2021-11-30T23:59:59,2021REG,12
1,2021,13,Week 13,Week 13,2021-12-01T00:00:00,2021-12-07T23:59:59,2021REG,13
1,2021,14,Week 14,Week 14,2021-12-08T00:00:00,2021-12-14T23:59:59,2021REG,14
1,2021,15,Week 15,Week 15,2021-12-15T00:00:00,2021-12-22T23:59:59,2021REG,15
1,2021,16,Week 16,Week 16,2021-12-23T00:00:00,2021-12-28T23:59:59,2021REG,16
1,2021,17,Week 17,Week 17,2021-12-29T00:00:00,2022-01-04T23:59:59,2021REG,17
1,2021,18,Week 18,Week 18,2022-01-05T00:00:00,2022-01-10T23:59:59,2021REG,18
3,2021,1,Wild Card Weekend,Wild Card,2022-01-11T00:00:00,2022-01-18T23:59:59,2021POST,1
3,2021,2,Divisional Playoffs,Divisional,2022-01-19T00:00:00,2022-01-24T23:59:59,2021POST,2
3,2021,3,Conference Championships,Conference,2022-01-25T00:00:00,2022-01-31T23:59:59,2021POST,3
5,2021,1,Pro Bowl,Pro Bowl,2022-02-01T00:00:00,2022-02-07T23:59:59,2021STAR,1
3,2021,4,Super Bowl,Super Bowl,2022-02-08T00:00:00,2022-02-14T23:59:59,2021POST,4
4,2021,,Scouting Combine,Combine,2022-02-15T00:00:00,2022-02-28T23:59:59,2021REG,
4,2022,,Free Agency,Free Agency,2022-03-01T00:00:00,2022-03-31T23:59:59,2022REG,
4,2022,,NFL Draft,NFL Draft,2022-04-01T00:00:00,2022-07-27T23:59:59,2022REG,
2,2022,0,Hall of Fame Weekend,HOF Weekend,2022-07-28T00:00:00,2022-08-05T23:59:59,2022PRE,0
2,2022,1,Preseason Week 1,Week 1,2022-08-06T00:00:00,2022-08-15T23:59:59,2022PRE,1
2,2022,2,Preseason Week 2,Week 2,2022-08-16T00:00:00,2022-08-23T23:59:59,2022PRE,2
2,2022,3,Preseason Week 3,Week 3,2022-08-24T00:00:00,2022-08-29T23:59:59,2022PRE,3
1,2022,1,Week 1,Week 1,2022-08-30T00:00:00,2022-09-13T23:59:59,2022REG,1
1,2022,2,Week 2,Week 2,2022-09-14T00:00:00,2022-09-20T23:59:59,2022REG,2
1,2022,3,Week 3,Week 3,2022-09-21T00:00:00,2022-09-27T23:59:59,2022REG,3
1,2022,4,Week 4,Week 4,2022-09-28T00:00:00,2022-10-04T23:59:59,2022REG,4
1,2022,5,Week 5,Week 5,2022-10-05T00:00:00,2022-10-11T23:59:59,2022REG,5
1,2022,6,Week 6,Week 6,2022-10-12T00:00:00,2022-10-18T23:59:59,2022REG,6
1,2022,7,Week 7,Week 7,2022-10-19T00:00:00,2022-10-25T23:59:59,2022REG,7
1,2022,8,Week 8,Week 8,2022-10-26T00:00:00,2022-11-01T23:59:59,2022REG,8
1,2022,9,Week 9,Week 9,2022-11-02T00:00:00,2022-11-08T23:59:59,2022REG,9
1,2022,10,Week 10,Week 10,2022-11-09T00:00:00,2022-11-15T23:59:59,2022REG,10
